"filename", "language", "pip requirements", "Properties", "Python", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "SCSS", "Vue", "SVG", "HTML", "comment", "blank", "total"
"c:\Users\21756\Desktop\krl\src\symbols\table.py", "Python", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 100
"c:\Users\21756\Desktop\krl\src\symbols\type.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\21756\Desktop\krl\src\user.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\21756\Desktop\krl\src\utils\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21756\Desktop\krl\src\utils\mod.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21756\Desktop\krl\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21756\Desktop\krl\tests\conftest.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\21756\Desktop\krl\tests\server\test_server.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"c:\Users\21756\Desktop\krl\tests\test_node.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"c:\Users\21756\Desktop\krl\tests\test_symbols.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 37
"Total", "-", 31, 3, 1486, 143, 10797, 782, 14, 13, 276, 1109, 3, 13, 352, 545, 15567
